Job Title, Zip Code, Number of Jobs
2018-07-16,retail,"60431",8330
2018-07-16,retail,"36436",140
2018-07-16,retail,"60697",18911
2018-07-16,retail,"62832",552
2018-07-16,retail,"10044",30550
2018-07-16,retail,"80729",6
2018-07-16,retail,"80727",19
2018-07-16,retail,"61635",1167
2018-07-16,retail,"79718",12
2018-07-16,retail,"53108",5359
2018-07-16,retail,"12446",1351
2018-07-16,retail,"41386",117
2018-07-16,retail,"11241",30021
2018-07-16,retail,"85624",117
2018-07-16,retail,"91772",25924
2018-07-16,retail,"83229",15
2018-07-16,retail,"35238",3043
2018-07-16,retail,"57049",596
2018-07-16,retail,"54306",1206
2018-07-16,retail,"59444",15
2018-07-16,retail,"76118",16552
2018-07-16,retail,"10043",31405
2018-07-16,retail,"14841",486
2018-07-16,retail,"60430",14179
2018-07-16,retail,"32736",3109
2018-07-16,retail,"60696",19655
2018-07-16,retail,"62833",131
2018-07-16,retail,"36435",51
2018-07-16,retail,"80728",49
2018-07-16,retail,"80726",37
2018-07-16,retail,"85627",27
2018-07-16,retail,"77316",2934
2018-07-16,retail,"79713",76
2018-07-16,retail,"07513",28889
2018-07-16,retail,"41121",800
2018-07-16,retail,"17340",1314
2018-07-16,retail,"35231",3039
2018-07-16,retail,"60437",423
2018-07-16,retail,"54305",1839
2018-07-16,retail,"39191",103
2018-07-16,retail,"13645",103
2018-07-16,retail,"42320",165
2018-07-16,retail,"16142",1843
2018-07-16,retail,"88123",2
2018-07-16,retail,"85626",60
2018-07-16,retail,"79978",1865
2018-07-16,retail,"58249",7
2018-07-16,retail,"79712",1700
2018-07-16,retail,"12448",589
2018-07-16,retail,"35232",3063
2018-07-16,retail,"43783",1043
2018-07-16,retail,"39193",1356
2018-07-16,retail,"33935",191
2018-07-16,retail,"07514",27924
2018-07-16,retail,"60436",7121
2018-07-16,retail,"39192",71
2018-07-16,retail,"54304",1837
2018-07-16,retail,"13646",98
2018-07-16,retail,"14843",176
2018-07-16,retail,"16143",2061
2018-07-16,retail,"36695",1632
2018-07-16,retail,"10041",29776
2018-07-16,retail,"46280",6949
2018-07-16,retail,"88124",174
2018-07-16,retail,"81089",19
2018-07-16,retail,"50609",171
2018-07-16,retail,"85629",1888
2018-07-16,retail,"14846",215
2018-07-16,retail,"12449",1016
2018-07-16,retail,"53105",2993
2018-07-16,retail,"42322",684
2018-07-16,retail,"43520",330
2018-07-16,retail,"77318",1763
2018-07-16,retail,"35233",3045
2018-07-16,retail,"61630",1182
2018-07-16,retail,"65590",197
2018-07-16,retail,"71480",75
2018-07-16,retail,"33936",2571
2018-07-16,retail,"59447",292
2018-07-16,retail,"13647",127
2018-07-16,retail,"54303",1321
2018-07-16,retail,"43786",270
2018-07-16,retail,"78516",1890
2018-07-16,retail,"36432",137
2018-07-16,retail,"10040",30611
2018-07-16,retail,"88121",2
2018-07-16,retail,"16140",2051
2018-07-16,retail,"60435",9645
2018-07-16,retail,"25628",204
2018-07-16,retail,"85628",116
2018-07-16,retail,"80723",64
2018-07-16,retail,"14845",478
2018-07-16,retail,"79714",46
2018-07-16,retail,"53104",3689
2018-07-16,retail,"35234",3036
2018-07-16,retail,"59448",2
2018-07-16,retail,"13648",51
2018-07-16,retail,"54568",101
2018-07-16,retail,"41124",210
2018-07-16,retail,"39190",114
2018-07-16,retail,"54302",1210
2018-07-16,retail,"42321",295
2018-07-16,retail,"16141",2271
2018-07-16,retail,"88122",50
2018-07-16,retail,"60434",9600
2018-07-16,retail,"50607",131
2018-07-16,retail,"77578",11865
2018-07-16,retail,"38839",47
2018-07-16,retail,"98807",233
2018-07-16,retail,"72419",426
2018-07-16,retail,"53103",5435
2018-07-16,retail,"42324",195
2018-07-16,retail,"60691",18532
2018-07-16,retail,"44721",2913
2018-07-16,retail,"97870",23
2018-07-16,retail,"28123",5659
2018-07-16,retail,"95473",1769
2018-07-16,retail,"03815",2239
2018-07-16,retail,"76113",10317
2018-07-16,retail,"76379",387
2018-07-16,retail,"43788",211
2018-07-16,retail,"92711",17101
2018-07-16,retail,"49880",84
2018-07-16,retail,"29588",1633
2018-07-16,retail,"54301",1771
2018-07-16,retail,"46285",6944
2018-07-16,retail,"43522",1949
2018-07-16,retail,"29322",3130
2018-07-16,retail,"91778",24035
2018-07-16,retail,"50608",144
